epoch,score,loss
1,0.23655913978495,0.19510065250984
2,0.26160337552743,0.17043256661464
3,0.14285714285714,0.15289407176551
4,0.19883040935673,0.12786652498788
5,0.24561403508772,0.10960132730586
6,0.24,0.094958970770269
7,0.35714285714286,0.088994085484962
8,0.35714285714286,0.082471027426159
9,0.36163522012579,0.074799854470723
10,0.41935483870968,0.065312446807055
11,0.5045045045045,0.059630800811119
12,0.57142857142857,0.066463610023866
13,0.28388278388278,0.045598125930117
14,0.38461538461538,0.055456803127765
15,0.58914728682171,0.052252550680284
16,0.58914728682171,0.046313000632908
17,0.59770114942529,0.043425167503263
18,0.57142857142857,0.030701285901289
19,0.4,0.040806612141698
20,0.58914728682171,0.035921196996984
21,0.58914728682171,0.026639641678626
22,0.49543378995434,0.027397324422469
